Time [s],Value,Parity Error,Framing Error
21.751757874999999,15,,
21.751844541666667,4,,
21.751931208333332,162,,
21.752017875000000,3,,
21.752104583333335,11,,
21.752191249999999,87,,
21.752277916666667,0,,
21.752364583333332,128,,
21.752451250000000,14,,
21.752537958333335,35,,
21.752624624999999,0,,
21.752711291666667,0,,
21.752797958333332,205,,
21.752884625000000,8,,
21.752971291666668,85,,
21.753057999999999,15,,
21.753144666666667,4,,
21.753231333333332,162,,
21.753318000000000,3,,
21.753404666666668,11,,
21.753491374999999,0,,
21.753578041666668,0,,
21.753664708333332,128,,
21.753751375000000,13,,
21.753838041666668,2,,
21.753924749999999,0,,
21.754011416666668,0,,
21.754098083333332,48,,
21.754184750000000,193,,
21.771537083333332,85,,
21.771623750000000,14,,
21.771710416666668,4,,
21.771797083333333,102,,
21.771883750000001,1,,
21.771970416666665,11,,
21.772057125000000,91,,
21.772143791666668,0,,
21.772230458333333,192,,
21.772317125000001,0,,
21.772403791666665,11,,
21.772490500000000,0,,
21.772577166666668,140,,
21.772663833333333,20,,
22.431557291666667,85,,
22.431643958333332,17,,
22.431730625000000,4,,
22.431817291666668,146,,
22.431903999999999,4,,
22.431990666666668,11,,
22.432077333333332,230,,
22.432164000000000,120,,
22.432250666666668,32,,
22.432337374999999,13,,
22.432424041666668,2,,
22.432510708333332,0,,
22.432597375000000,0,,
22.432684041666668,0,,
22.432770750000000,1,,
22.432857416666668,48,,
22.432944083333332,232,,
22.451778541666666,85,,
22.451865208333334,17,,
22.451951874999999,4,,
22.452038541666667,146,,
22.452125208333332,3,,
22.452211916666666,11,,
22.452298583333334,202,,
22.452385249999999,38,,
22.452471916666667,32,,
22.452558583333332,13,,
22.452645291666666,3,,
22.452731958333334,1,,
22.452818624999999,0,,
22.452905291666667,0,,
22.452991958333332,0,,
22.453078666666666,50,,
22.453165333333335,247,,
22.751794833333335,85,,
22.751881500000000,15,,
22.751968166666668,4,,
22.752054833333332,162,,
22.752141500000000,3,,
22.752228208333332,11,,
22.752314875000000,94,,
22.752401541666668,0,,
22.752488208333332,128,,
22.752574875000001,14,,
22.752661583333332,2,,
22.752748250000000,0,,
22.752834916666668,1,,
22.752921583333332,154,,
